location,latitude,longitude
azteca retas,-570.12,511.295
bomberos,-468.74,551.395
cancha azteca,-473.91,453.355
garrafa,-466.15,209.765
beisbol azteca,-472.61,37.485
iglesia azteca,-585.74,72.475
awa,-595.94,160.875
skaus,-570.51,217.895
bethel playas,-767.42,261.645
mural acordeon,-782.66,303.905
danza pavlova,-804.79,388.755
parque lluvia,-937.81,405.515
iglesia renovación,-973.7,103.085
iglesia jesucristo,-1145.58,-91.065
cbtis,-1145.21,406.755
arriba de cbtis,-1158.59,632.495
parque bc,-1156.61,665.455
peewee wings,-1223.96,30.765
iglesia testigos,-1216.92,-30.765
cinepolis,538.73,435.955
fuente xocolatl,404.33,368.635
nopales,318.76,486.075
royal academy,65.72,664.875
pozito,23.9,561.475
le monde de jouet,-57.78,486.985
eliza grill kitchen,-112.65,532.115
la casa del maestro,-266.29,698.825
mural casa de la cultura,-354.58,564.635
mural danza,-388.39,570.835
mural personas,-335.7,413.125
beaven,-290.81,329.375
dino,-263.31,328.135
iglesia playa,-152.85,-496.515
aquamarino,-179.21,-596.625
callejón playa,-23.9,-548.705
bar la zebra,62.25,-563.495
mural ballena playa,78.91,-506.305
mural pescado,87.55,-569.535
cancha playa,132.64,-497.485
motel monumental,172.55,-501.985
clamatos playa,185.29,-515.475
pizza ny,181.0,-554.925
pizzas del pacifico,235.73,-520.365
jim morrison,257.86,-558.725
mural mascara,347.59,-552.035
estatuas playa,402.25,-521.595
mural ballenas,396.15,-553.975
mural cantinflas,436.06,-523.565
mural pez postal,453.79,-551.325
corazon teleton,512.08,-550.665
lesly grafiti,362.55,-420.455
mural steve jobs,501.3,-420.165
kotiki,632.86,-509.625
mural mándela,633.11,-549.685
ultima oportunidad,687.99,-516.235
mándale Minotauro,689.57,-541.235
corazon playa,712.97,-550.055
corazon vegetal,758.45,-541.065
terraza vallarta,767.12,-525.715
gym playa,842.0,-537.085
