location,latitude,longitude
azteca retas,32.5201602,-117.1129328
bomberos,32.5211740,-117.1125318
cancha azteca,32.5211223,-117.1135122
garrafa,32.5211999,-117.1159481
beisbol azteca,32.5211353,-117.1176709
iglesia azteca,32.5200040,-117.1173210
awa,32.5199020,-117.1164370
skaus,32.5201563,-117.1158668
bethel playas,32.5181872,-117.1154293
mural acordeon,32.5180348,-117.1150067
danza pavlova,32.5178135,-117.1141582
parque lluvia,32.5164833,-117.1139906
iglesia renovación,32.5161244,-117.1170149
iglesia jesucristo,32.5144056,-117.1189564
cbtis,32.5144093,-117.1139782
arriba de cbtis,32.5142755,-117.1117208
parque bc,32.5142953,-117.1113912
peewee wings,32.5136218,-117.1177381
iglesia testigos,32.5136922,-117.1183534
cinepolis,32.5312487,-117.1136862
fuente xocolatl,32.5299047,-117.1143594
nopales,32.5290490,-117.1131850
royal academy,32.5265186,-117.1113970
pozito,32.5261004,-117.1124310
le monde de jouet,32.5252836,-117.1131759
eliza grill kitchen,32.5247349,-117.1127246
la casa del maestro,32.5231985,-117.1110575
mural casa de la cultura,32.5223156,-117.1123994
mural danza,32.5219775,-117.1123374
mural personas,32.5225044,-117.1139145
beaven,32.5229533,-117.1147520
dino,32.5232283,-117.1147644
Iglesia playa, 32.5243329, -117.1230109
Aquamarino, 32.5240693, -117.1240120
Callejón playa, 32.5256224, -117.1235328
Bar La Zebra, 32.5264839, -117.1236807
Mural Ballena Playa, 32.5266505, -117.1231088
Mural Pescado, 32.5267369, -117.1237411
Cancha Playa, 32.5271878, -117.1230206
Motel Monumental, 32.5275869, -117.1230656
Clamatos playa, 32.5277143, -117.1232005
Pizza NY, 32.5276714, -117.1235950
Pizzas del Pacifico, 32.5282187, -117.1232494
Jim Morrison, 32.5284400, -117.1236330
Mural Máscara, 32.5293373, -117.1235661
Estatuas Playa, 32.5298839, -117.1232617
Mural Ballenas, 32.5298229, -117.1235855
Mural Cantinflas, 32.5302220, -117.1232814
Mural Pez Postal, 32.5303993, -117.1235590
Corazón Teletón, 32.5309822, -117.1235524
Lesly Grafiti, 32.5294869, -117.1222503
Mural Steve Jobs, 32.5308744, -117.1222474
Kotiki, 32.5321900, -117.1231420
Mural Mándela, 32.5321925, -117.1235426
Última Oportunidad, 32.5327413, -117.1232081
Mándale Minotauro, 32.5327571, -117.1234581
Corazón Playa, 32.5329911, -117.1235463
Corazón Vegetal, 32.5334459, -117.1234564
Terraza Vallarta, 32.5335326, -117.1233029
Gym Playa, 32.5342814, -117.1234166
